#	time	Reference	Challenge	m1	m2	count	scoreblob	scorecolor	sc1(alignment)
68	14.15	Image_1103.jpg	colorTag_70.jpg	43	440	0	0.0	0.0005156250000000195
69	14.62	Image_1103.jpg	colorTag_71.jpg	43	680	0	0.0	0.0003333333333332966
70	14.86	Image_1103.jpg	colorTag_72.jpg	43	100	0	0.0	0.002345138888888876
71	14.22	Image_1103.jpg	colorTag_73.jpg	43	64	0	0.0	0.00037343749999996234
72	13.96	Image_1103.jpg	colorTag_74.jpg	43	1179	0	0.0	0.00026493055555554257
73	16.71	Image_1103.jpg	colorTag_75.jpg	43	178	0	0.0	0.0004399305555555788
74	13.97	Image_1103.jpg	colorTag_76.jpg	43	1192	0	0.0	0.00023697916666665098
75	16.50	Image_1103.jpg	colorTag_77.jpg	43	515	0	0.0	0.000454687499999995
76	14.61	Image_1103.jpg	colorTag_78.jpg	43	1498	0	0.0	0.00026250000000005436
77	19.33	Image_1103.jpg	colorTag_79.jpg	43	1664	0	0.0	0.00028524305555555074
78	19.39	Image_1103.jpg	colorTag_8.jpg	43	653	0	0.0	0.00047534722222219994
79	15.62	Image_1103.jpg	colorTag_80.jpg	43	2951	0	0.0	0.00047083333333330923
80	30.95	Image_1103.jpg	colorTag_81.jpg	43	956	0	0.0	0.0004378472222221763
81	16.97	Image_1103.jpg	colorTag_82.jpg	43	715	0	0.0	0.00028715277777779935
82	18.14	Image_1103.jpg	colorTag_83.jpg	43	2295	0	0.0	0.0008343750000000538
83	23.97	Image_1103.jpg	colorTag_84.jpg	43	357	0	0.0	0.0004326388888888921
84	15.62	Image_1103.jpg	colorTag_85.jpg	43	1202	0	0.0	0.000520486111111107
85	17.62	Image_1103.jpg	colorTag_86.jpg	43	105	0	0.0	0.000423263888888914
86	14.35	Image_1103.jpg	colorTag_87.jpg	43	583	0	0.0	0.0006263888888888847
87	14.88	Image_1103.jpg	colorTag_88.jpg	43	2054	0	0.0	0.0005069444444444349
